Name Of Player,Date Month Year,Runs
TM Alderman,5 Feb 1984,7
TM Alderman,29 Feb 1984,-
TM Alderman,3 Feb 1985,-
TM Alderman,17 Feb 1985,8
TM Alderman,24 Mar 1985,-
TM Alderman,11 Dec 1988,0
TM Alderman,25 May 1989,0
TM Alderman,19 Oct 1989,0
TM Alderman,30 Dec 1989,0
TM Alderman,3 Mar 1990,-
TM Alderman,26 Apr 1990,0
TM Alderman,2 Dec 1990,5
GW Aldridge,22 Oct 2011,-
RP Alexander,10 Sep 2004,34
Kabir Ali,1 Jul 2003,-
Kabir Ali,30 Jan 2005,52
Kabir Ali,19 Dec 2005,39
Kabir Ali,28 Mar 2006,2
Kabir Ali,28 Jun 2006,0
MM Ali,28 Feb 2014,109
MM Ali,2 Sep 2014,76
MM Ali,26 Nov 2014,236
MM Ali,16 Jan 2015,119
MM Ali,14 Feb 2015,192
MM Ali,3 Sep 2015,52
MM Ali,11 Nov 2015,13
MM Ali,3 Feb 2016,59
MM Ali,21 Jun 2016,9
MM Ali,24 Aug 2016,66
MM Ali,7 Oct 2016,11
MM Ali,15 Jan 2017,85
MM Ali,3 Mar 2017,34
MM Ali,24 May 2017,110
MM Ali,1 Jun 2017,23
MM Ali,19 Sep 2017,150
MM Ali,14 Jan 2018,51
MM Ali,25 Feb 2018,54
MM Ali,10 Jun 2018,46
MM Ali,13 Jun 2018,52
MM Ali,12 Jul 2018,37
MM Ali,10 Oct 2018,37
MM Ali,20 Feb 2019,24
MM Ali,11 May 2019,46
RW Ali,18 Feb 1996,6
RW Ali,28 Sep 1996,1
RW Ali,10 Oct 1997,-
Ali Asad,16 Jul 2004,21
Ali Khan,27 Apr 2019,3
DI Allan,12 Sep 2011,71
FA Allen,27 Oct 2018,19
FA Allen,14 Dec 2018,6
FA Allen,11 May 2019,7
MW Alleyne,10 Jan 1999,76
MW Alleyne,26 Jan 2000,75
MW Alleyne,5 Oct 2000,-
MJD Allingham,16 May 1999,11
GI Allott,26 Feb 1997,4
GI Allott,24 Oct 1998,3
GI Allott,12 Jan 1999,7
GI Allott,14 Feb 1999,0
GI Allott,17 May 1999,0
GI Allott,20 Aug 2000,2
GI Allott,30 Sep 2000,1
GI Allott,9 Oct 2000,-
GI Allott,20 Oct 2000,0
PJW Allott,13 Feb 1982,0
PJW Allott,2 Jun 1982,5
PJW Allott,9 Jun 1983,8
PJW Allott,30 May 1985,2
Alok Kapali,4 Aug 2002,15
Alok Kapali,19 Sep 2002,47
Alok Kapali,3 Oct 2002,45
Alok Kapali,29 Nov 2002,121
Alok Kapali,11 Feb 2003,80
Alok Kapali,11 Apr 2003,112
Alok Kapali,2 Aug 2003,83
Alok Kapali,9 Sep 2003,205
Alok Kapali,7 Nov 2003,4
Alok Kapali,10 Mar 2004,35
Alok Kapali,15 May 2004,6
Alok Kapali,16 Jul 2004,44
Alok Kapali,7 Nov 2004,17
Alok Kapali,20 Jan 2005,4
Alok Kapali,20 Feb 2006,42
Alok Kapali,17 Mar 2006,56
Alok Kapali,26 Apr 2006,15
Alok Kapali,29 Jul 2006,33
Alok Kapali,8 Jun 2008,20
Alok Kapali,24 Jun 2008,172
Alok Kapali,30 Aug 2008,14
Alok Kapali,13 Apr 2011,13
Alok Kapali,13 Oct 2011,40
Alok Kapali,6 Dec 2011,12
Al-Amin Hossain,17 Feb 2014,2
Al-Amin Hossain,4 Mar 2014,0
Al-Amin Hossain,15 Jun 2014,1
Al-Amin Hossain,20 Aug 2014,0
Al-Amin Hossain,21 Nov 2014,-
Al-Amin Hossain,7 Nov 2015,1
Al Sahariar,16 Mar 1999,17
Al Sahariar,20 Mar 1999,8
Al Sahariar,8 Oct 1999,74
Al Sahariar,5 Oct 2000,13
Al Sahariar,7 Apr 2001,7
Al Sahariar,23 Nov 2001,87
Al Sahariar,22 Jan 2002,53
Al Sahariar,4 Aug 2002,50
Al Sahariar,19 Sep 2002,0
Al Sahariar,3 Oct 2002,1
Al Sahariar,29 Nov 2002,10
Al Sahariar,11 Feb 2003,38
Al Sahariar,2 Aug 2003,16
KN Amalean,8 Mar 1986,-
KN Amalean,30 Mar 1986,9
KN Amalean,5 Apr 1986,-
KN Amalean,2 Jan 1988,0
KN Amalean,29 Mar 1988,6
Aman Ali,26 Jun 2008,0
M Amarnath,7 Jun 1975,1
M Amarnath,21 Feb 1976,29
M Amarnath,1 Oct 1978,85
M Amarnath,9 Jun 1979,16
M Amarnath,12 Sep 1982,13
M Amarnath,3 Dec 1982,66
M Amarnath,9 Mar 1983,68
M Amarnath,9 Jun 1983,237
M Amarnath,10 Sep 1983,61
M Amarnath,1 Dec 1983,94
M Amarnath,12 Oct 1984,5
